-4.793714505029496586e-01,-1.012977334402199725e+00,7.869252587763931883e-01,-1.129081179456866257e+00,-5.308097705255628851e-01,-1.545112074489504606e+00,3.629681962075582136e-01,1.286540759039686010e-01,3.439881671073218850e-01,-1.864809504658267725e-01,-1.537395341479043553e+00,-4.145759188560242947e-01,3.839928538495385874e-02,1.392843285110827445e+00,1.114118263254958441e+00,-2.278771835256504785e-01,-1.304342223116885302e+00,1.376914390800917598e+00,2.476091540849283124e-01,-7.527371579125916590e-01,9.440439819167627533e-01
8.280052326869129509e-01,-1.291495426056512852e-01,-2.718200111052887502e-01,4.434877137636342725e-01,-5.720149264191973920e-02,8.572479549012599342e-01,-1.015618476045363483e+00,-1.256630825179761546e+00,4.029857848637772855e-01,1.114979162191737316e+00,7.780250507820510864e-01,8.177205123501367634e-01,6.910214214410820288e-01,1.016243078706691449e-01,1.198514217963682515e+00,7.073580035137680966e-01,4.125075921941350754e-01,8.176416293673452462e-02,-3.841770895853751644e-01,1.886071675431412464e-01,8.429544940138218589e-02
-1.786748133692812157e+00,-4.675596555404520904e-01,-2.804422686720038360e-01,7.392851356163666621e-01,6.288416062803084960e-01,1.248729034023507989e+00,-8.052014262096342245e-02,-1.256630825179761546e+00,-1.569954085319958059e+00,-1.771933588850447550e-01,-1.638169112685090023e-01,4.620158238812142604e-01,1.815973181446423890e-01,4.164497588121154892e-02,1.068924573757941365e+00,7.381662363859295972e-01,9.546413574126326740e-01,-5.745657059128796984e-01,7.453801339463780318e-01,-4.486207534090855265e-01,-9.123006138365342688e-01
8.280052326869129509e-01,1.129655256053203383e+00,-1.770311268260762461e-01,8.129930851440999584e-01,7.536426114513977703e-02,1.103242793838605795e+00,2.028222456090015002e-01,-1.256630825179761546e+00,2.077128149594824058e-01,1.185277164575434972e+00,-1.632550957330189401e-01,-3.238391512851450382e-02,-2.364818308748575792e-01,-4.581354607800663392e-01,1.155169648006122207e+00,-9.437640324708727046e-01,1.412219724786776043e+00,-3.600978541213401551e-01,-1.245703785499425065e+00,-3.582751223337115043e-01,3.340426903742512721e-01
8.280052326869129509e-01,-1.983798233822550716e-01,2.223942214797858696e+00,-7.330963673796363489e-01,-1.088956627730101712e+00,-1.452941135355491353e-01,7.490094645076462998e-02,2.202120777733993950e+00,4.190444982069386343e-02,1.281040437670051824e-01,-2.638357257162759484e-01,-3.543757098901573754e-01,-2.812854196850359534e-01,6.559438759891612625e-01,1.171146709029667887e+00,-7.955904660670110040e-01,1.689201901974195785e-01,1.075867938532995699e-01,-1.245703785499425065e+00,-2.024698386545705497e-01,3.340426903742512721e-01
-4.793714505029496586e-01,9.619425518117558083e-01,-1.102313667961763333e+00,1.290430040532652978e-01,-1.772758903588569079e-01,3.611409031176524564e-01,-1.652896466477170589e-01,-1.256630825179761546e+00,-6.686636144982980312e-01,-3.066332042955078330e-01,4.672913316603599654e-01,5.728814103694540583e-01,2.470276043672759991e-01,-1.723055890555876379e+00,-3.716660957865540738e-01,-2.789867400954042509e-01,5.206044665933263760e-01,-8.146939690722008187e-01,8.219602846942936081e-01,-5.039255549082292118e-01,-5.257058421411506810e-01
8.280052326869129509e-01,-4.065549320168888592e-01,-6.511018257242663365e-01,-4.232853362797820429e-01,-6.710247207721539153e-01,2.504545055625626362e-02,-9.822884916072303074e-01,2.131291195219333912e-01,1.574489128764104684e-01,-5.805345038331127805e-01,1.575517391252801436e-01,6.183005245430103214e-01,7.927136546039885712e-01,6.185277316728031716e-01,-1.149069550412576080e+00,4.613248946543209161e-01,-3.044772583113271591e-01,2.530012325292207986e-01,4.390595309547159486e-01,-5.955006013970054468e-01,5.574492102213791656e-01
-4.793714505029496586e-01,-1.806681182191022337e-03,-7.052936842882017165e-01,1.610417442455880588e+00,1.854118376858570727e+00,1.251739614898523589e+00,-6.643883950211316725e-01,3.815501355034688902e-01,-1.287375257924045391e+00,-2.436734844320586624e-01,-4.436021214996492823e+00,1.535374942121818131e+00,1.075141350463227230e+00,-4.910948190154836857e-01,-1.465185833872410415e+00,1.860151778434245839e+00,4.229975387733460046e-01,2.084108473103790937e-01,-1.494589275430151076e+00,2.909053713374055494e+00,-2.855204198714434316e+00
-1.786748133692812157e+00,2.045571259054268065e+00,1.121661817176109244e+00,-5.453807255959635530e-02,-4.960574172394376369e-01,4.672680910796172538e-01,9.201753365824884012e-01,1.258782920326128263e+00,-5.899652550849251303e-02,-2.032610700199954934e-01,-1.345889163511185260e-01,-2.371840814367542016e+00,-2.547382325756179178e+00,-2.275612418268878834e+00,2.342501637146378324e-01,-5.332538529873505073e-01,2.415264206328965990e+00,-2.928406347156149447e+00,-6.713526548900591306e-01,1.113114973399191854e+00,-5.257058421411506810e-01
8.280052326869129509e-01,8.841294979795878417e-01,7.677409761009112987e-01,1.281978979196771284e+00,1.165453001704785718e+00,1.006212883775841949e+00,4.139437931869692777e-01,1.176257919805888008e+00,1.270464271503782605e+00,1.918803727643934476e+00,2.634798316619219039e-01,7.784427031441738809e-02,-1.122545077334445168e-01,-1.482790799835273399e+00,-1.387897336114325975e-01,-3.951381917666463850e-01,6.465335686915266722e-01,-6.635926073839003569e-01,-5.564824287681855441e-01,1.184677838065036681e+00,-1.988446200100923156e-01
-4.793714505029496586e-01,-4.349089982683316813e-01,1.437465242061756854e+00,1.506784543634805684e-01,4.468078160019653411e-01,2.220868130667495999e-01,-1.814004212821482831e+00,8.466825619017626092e-01,1.700909035508783168e-02,-1.142836907944247304e+00,-5.273286384745637934e-01,-5.067961147211869077e-01,-2.580814613036581662e-01,1.491686173742808874e+00,1.868297256459216626e+00,-8.956402603678105534e-02,-4.052596201414378485e-01,4.962431708127331698e-01,-1.073398446316614629e+00,-4.438680603505181788e-01,3.340426903742512721e-01
-4.793714505029496586e-01,5.334697515799545764e-01,-1.206494279881291654e+00,-2.024077996035717267e-02,2.028104343388841546e-01,-1.363550626735750559e-01,-9.993414917850472479e-02,1.094311536610503705e-01,-1.743833387792181444e+00,-6.269878427597869175e-01,3.953941094798690825e-01,4.502448564127581876e-01,4.433734550167385269e-01,-5.425219830823218015e-01,-2.151728680705694785e+00,5.459931654960304423e-04,3.162942565287757413e-01,-6.773031918655790795e-01,1.530326679112506749e+00,2.187747514692198969e+00,-2.855204198714434316e+00
8.280052326869129509e-01,3.479570284695171489e-01,4.994669644373631034e-01,-8.950813889379716226e-01,-4.753870071210338777e-01,-1.027311657919606436e+00,2.127834851433427765e-01,8.298322744102731852e-01,5.148843499853589245e-01,-8.504601097011869060e-01,2.020981643608688594e-01,-6.298774914882414311e-02,-3.776409048417903036e-01,-3.304066176713539305e-01,-1.438157363077667839e-01,-5.144668175535228177e-02,1.777639856932491658e-01,-4.353912718928726333e-02,-1.130833559377552922e+00,-8.483516479851895831e-01,9.440439819167627533e-01
