-2.453019434796643424e-07,3.647833528751115447e-08,7.896299291615197500e-05,1.521849606816156411e-07,-7.237355449785033535e-06,-1.020450528555475988e-05,-1.307597162707778413e-07,-2.540137153350240754e-08,2.774127733731991429e-06,-2.620710910594326529e-07,5.507121643200605374e-06,-5.172683915434837738e-07,-1.142516964425764699e-06,-4.622187974616702006e-06,-1.203301911999029103e-05,-2.271237747259665184e-07,2.838101203445364212e-06,1.154844398386918565e-05,-3.898639880386504168e-07
2.133913902406606686e-08,-1.580850525711305840e-06,-5.147375018663626241e-04,-1.632300075988324798e-06,4.406167217013103510e-05,6.240332738789213798e-05,2.238278133190335774e-07,1.627052927246402603e-07,-1.820951088169551387e-05,-1.912612302535953332e-07,-3.520789523192881378e-05,-5.140518581069845400e-07,3.305460550157445416e-06,3.156016977826442090e-05,7.960330136247478685e-05,2.056489100497355596e-07,-2.025003541269365244e-05,-7.527193462801021683e-05,7.782375270396248780e-08
9.726574315014953334e-08,9.145943007273745816e-07,1.797467579118167450e-04,6.784279866485817245e-07,-1.437460715426094278e-05,-2.074208546695468280e-05,4.693130740229266066e-08,6.275404404438229779e-08,6.564307351583186493e-06,-1.003806564603039353e-07,1.224271349070990438e-05,4.467701922739326700e-08,-1.087772594942581326e-06,-1.112169290254712447e-05,-2.798010427184309925e-05,1.334964157173575132e-07,7.278588792613098615e-06,2.637537567638177489e-05,1.750054633173855050e-07
1.040855318478196183e-08,-5.791193235717329552e-09,-1.652326446252431921e-05,-1.378334204216872024e-07,7.299017958165170411e-07,1.408700347136332543e-06,1.663472002313549378e-07,-9.647118183581290948e-08,-5.934273321613253101e-07,-5.222685171995935445e-08,-1.022151369208705127e-06,1.274966797902318644e-07,3.149785637884491780e-08,9.137162987299550705e-07,2.504039771032194489e-06,-1.992448347073313368e-09,-6.055136705265263728e-07,-2.430485530838478429e-06,1.589077290320884392e-08
3.934813034599495068e-08,-3.210537717354612916e-07,-1.098813888619577849e-04,-3.301913680254671639e-07,8.793852502713369094e-06,1.264357528219975861e-05,1.242325836317731234e-07,3.014642735494877476e-09,-3.826894601798085400e-06,6.468338031113352981e-09,-7.582725668548072444e-06,5.324900324766700105e-08,6.513810483241884040e-07,6.556748494709515655e-06,1.690411321264873124e-05,4.220902153116960928e-09,-4.224463844267315642e-06,-1.620512643331009509e-05,1.304083470122728459e-07
-1.106868558715888895e-07,-7.065088294775833067e-08,1.452219415010518859e-05,-1.810595008704782848e-10,-9.256043036009402515e-07,-1.326537685405642740e-06,-8.296264433310783512e-08,-8.593930240179292381e-09,4.466125364234079356e-07,-2.121818982467049246e-08,1.021816068920825139e-06,-2.839301038016331775e-07,-2.524504253835296038e-07,-9.417867051871343304e-07,-2.197858769916643382e-06,-2.286179753349039413e-07,5.358949763126822267e-07,2.092659935636646403e-06,-1.467682425784928101e-07
1.367100375373509683e-08,1.155559774957145093e-06,2.176152792827984082e-04,8.855213217929866124e-07,-1.765917493361933934e-05,-2.533400209853449623e-05,-1.675611051651328957e-07,-9.531625071655164930e-08,7.813891876077063502e-06,5.733444653390614072e-08,1.504921170990504524e-05,-5.532597968253314538e-08,-1.449012803466267265e-06,-1.373071608115831203e-05,-3.367988592159082168e-05,-4.089129978425224630e-08,8.801126882734595466e-06,3.183650162597448716e-05,1.420016475691104191e-07
-1.727683768064569884e-07,-2.798768383757245732e-06,-6.857261975308566893e-04,-2.130880952820434570e-06,5.747522159254102309e-05,8.190846132996640447e-05,2.925859174531850337e-07,-2.148388472646037652e-08,-2.460842605954582414e-05,-7.925030207832842739e-08,-4.700785462810718048e-05,-3.502560132132766532e-07,4.142183669617441139e-06,4.197140434454850705e-05,1.061829124646996718e-04,1.460510886263787372e-08,-2.709943928537012650e-05,-1.004778911347242607e-04,-2.032941861183616645e-07
-1.286855621816182281e-07,2.345907278314566219e-06,7.201757120789022268e-04,2.026793525609490532e-06,-5.982202174837583669e-05,-8.554034222960850051e-05,-3.519622848636316794e-07,-1.410076188110404048e-07,2.541781832624106702e-05,-2.385390350144533573e-07,4.960323512035483230e-05,-5.145040322666776391e-08,-4.688833363020011903e-06,-4.389036384824507298e-05,-1.115328308751885181e-04,-3.274390738063089645e-08,2.814851795474998124e-05,1.058884107504978641e-04,-1.085172381804861721e-07
-1.349460403340506177e-09,-4.876549590035806118e-07,-4.962527601928767379e-05,-8.895007782350464886e-08,3.903717287215093982e-06,5.638539003298431327e-06,-4.558361186513898936e-08,3.844598559236903485e-08,-1.742051348199093961e-06,3.714465929029322577e-08,-3.492789894064150269e-06,1.460965751951243706e-07,4.404853223624737407e-07,3.295710494323272885e-06,7.815816476931852959e-06,1.028291249853067484e-07,-2.164224415862164464e-06,-7.216384138846793143e-06,7.496016826520437946e-08
1.667563009014838159e-07,2.513440807904395979e-06,5.947586392575241127e-04,2.080249424198831810e-06,-4.981916566523149760e-05,-7.123071160919036368e-05,-2.587266251614638829e-07,6.076324617518089764e-08,2.145697541913710966e-05,2.121340571173402489e-07,4.073640819647502521e-05,1.943564291709428603e-07,-3.760535484429531896e-06,-3.642551497836472515e-05,-9.214516677790982101e-05,-1.775896922895082233e-08,2.358192706827936909e-05,8.716239065981468148e-05,7.427140514927247455e-08
-3.580061328975288152e-08,-1.169668698643309406e-06,-2.783512891547016799e-04,-9.587590553596201762e-07,2.294203425807867864e-05,3.310088312574302390e-05,2.057787400439713752e-07,-1.285792068174844467e-08,-9.833713070085248520e-06,-1.750390052287341285e-07,-1.905040770297815783e-05,-1.260684051574138481e-07,1.588366922602405153e-06,1.695006439086118552e-05,4.299081490067990780e-05,2.490285041124575536e-08,-1.101189364146390860e-05,-4.089886158400005448e-05,9.797871326056411434e-08
